
# RAW_DATA
1|002290.SZ|102.57|7.0268|6.8696|0.1573|10.22
2|301419.SZ|47.01|0.6526|0.4723|0.1803|7.13
3|002870.SZ|42.20|1.0919|1.0604|0.0315|7.02
4|603286.SH|70.29|1.6928|1.6056|0.0872|2.37
5|301129.SZ|28.88|0.5190|0.5012|0.0178|1.80
6|600388.SH|19.43|0.0856|0.0765|0.0091|0.42
7|601988.SH|5.86|0.0249|0.0227|0.0022|-1.02
8|002669.SZ|14.69|0.1658|0.1490|0.0168|-1.11
9|603213.SH|13.82|0.0281|0.0258|0.0023|-1.28
10|300554.SZ|27.62|0.9327|0.9280|0.0047|-1.63
11|601677.SH|19.21|0.3377|0.2922|0.0455|-2.89
12|600114.SH|37.75|0.9846|0.8822|0.1024|-3.15
13|000953.SZ|6.98|0.0184|0.0168|0.0016|-3.35
14|002952.SZ|30.69|0.8416|0.7916|0.0500|-3.81
15|300697.SZ|17.32|0.2928|0.2916|0.0011|-5.64
16|002436.SZ|35.42|2.3383|2.2702|0.0680|-6.62
17|603037.SH|14.83|0.1279|0.1223|0.0056|-6.66
18|300700.SZ|20.52|1.1636|1.1483|0.0153|-7.12
19|000969.SZ|22.72|0.1579|0.1089|0.0489|-9.70
20|000695.SZ|16.12|0.3587|0.3251|0.0336|-999.00
21|002048.SZ|29.88|0.4211|0.3723|0.0488|-999.00
22|300861.SZ|21.60|0.9969|0.9735|0.0234|-999.00
23|300881.SZ|54.98|1.8141|1.7091|0.1050|-999.00
24|301051.SZ|26.22|0.8851|0.8531|0.0321|-999.00
25|301487.SZ|25.99|0.8023|0.7969|0.0055|-999.00
26|301578.SZ|35.69|0.4247|0.4194|0.0053|-999.00
27|600699.SH|30.82|0.8722|0.8574|0.0148|-999.00
28|600933.SH|17.61|0.0897|0.0806|0.0091|-999.00
29|603006.SH|14.25|0.2339|0.2240|0.0100|-999.00
30|603075.SH|25.51|0.5615|0.5356|0.0259|-999.00
